query_index,rank,library_index,library_SMILES,library_ID,DreaMS_similarity,Modified_cosine_similarity
0,1,62037,C1=C(C=C(C(=C1Cl)OCCN)Cl)Cl,MassSpecGymID0078789,0.5009167194366455,0.0024391393691262724
0,2,62034,C1=C(C=C(C(=C1Cl)OCCN)Cl)Cl,MassSpecGymID0078786,0.5007478594779968,0.0024141018710802362
0,3,117874,CCCCCCCC/C=C\CCCCCCCC(=O)O,MassSpecGymID0176470,0.4629301428794861,0.05062676023814321
0,4,117202,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@H]4[C@@H]([C@H](O3)CO)OP(=O)(O4)O)N,MassSpecGymID0174986,0.4600716829299927,0.0774878020418238
0,5,55829,C1(=C(C(=C(C(=C1Cl)C(=O)N)Cl)Cl)O)C(=O)N,MassSpecGymID0071861,0.45936721563339233,0.01740211904810312
1,1,7204,C(C[Se][Se]CCN)N,MassSpecGymID0009143,0.4584892690181732,0.0006760652011412833
1,2,215546,CCCC(CC(=O)O)OC(=O)CCCCCCCCCC=C,MassSpecGymID0393659,0.4510728120803833,0.0
1,3,7203,C(C[Se][Se]CCN)N,MassSpecGymID0009142,0.44978922605514526,0.000606193060338839
1,4,221804,C1=C(C=C(C=C1O)OS(=O)(=O)O)CCC(=O)O,MassSpecGymID0401660,0.4398900866508484,0.005694811290688284
1,5,56269,CCOP(=S)(OCC)OC1=C(C=C(C=C1)Cl)Cl,MassSpecGymID0072335,0.4390702247619629,0.0
2,1,40418,C(C(=O)O)OC1=NC(=C(C(=C1Cl)N)Cl)F,MassSpecGymID0049910,0.42661330103874207,0.08981412323673862
2,2,55829,C1(=C(C(=C(C(=C1Cl)C(=O)N)Cl)Cl)O)C(=O)N,MassSpecGymID0071861,0.41116857528686523,0.03503922233173578
2,3,40428,C(C(=O)O)OC1=NC(=C(C(=C1Cl)N)Cl)F,MassSpecGymID0049920,0.39668455719947815,0.06217383685813088
2,4,55827,C1(=C(C(=C(C(=C1Cl)C(=O)N)Cl)Cl)O)C(=O)N,MassSpecGymID0071859,0.38885119557380676,0.039887012343550986
2,5,55828,C1(=C(C(=C(C(=C1Cl)C(=O)N)Cl)Cl)O)C(=O)N,MassSpecGymID0071860,0.38784927129745483,0.06537467318452396
3,1,155558,C1=C(C(=NC(=C1SC#N)N)N)SC#N,MassSpecGymID0224811,0.5153528451919556,0.07027324433609577
3,2,44652,C1=C(C(=CC(=C1S(=O)(=O)N)Cl)N)C(=O)O,MassSpecGymID0055827,0.4842677712440491,0.13548265219935074
3,3,157887,C1=CC2=C(C=C1Cl)NC(=CC2=O)C(=O)O,MassSpecGymID0227448,0.46798598766326904,0.01207898308990399
3,4,155560,C1=C(C(=NC(=C1SC#N)N)N)SC#N,MassSpecGymID0224813,0.4623973071575165,0.03835064034658705
3,5,44650,C1=C(C(=CC(=C1S(=O)(=O)N)Cl)N)C(=O)O,MassSpecGymID0055823,0.4583740830421448,0.25470093341043487
4,1,143830,CSC1=NSC(=N1)SCC(=O)NC2=NN=CS2,MassSpecGymID0212104,0.5808529257774353,0.0
4,2,143829,CSC1=NSC(=N1)SCC(=O)NC2=NN=CS2,MassSpecGymID0212103,0.5751205682754517,0.0
4,3,44651,C1=C(C(=CC(=C1S(=O)(=O)N)Cl)N)C(=O)O,MassSpecGymID0055826,0.5635647177696228,0.0
4,4,18418,COP(=S)(OC)OC1=CC=C(C=C1)[N+](=O)[O-],MassSpecGymID0022459,0.5622380375862122,0.0
4,5,44649,C1=C(C(=CC(=C1S(=O)(=O)N)Cl)N)C(=O)O,MassSpecGymID0055822,0.5531356334686279,0.0
5,1,109322,C/C(=C/CO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)/C#N,MassSpecGymID0159750,0.7115615606307983,0.0
5,2,74506,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O,MassSpecGymID0094973,0.698500394821167,0.0
5,3,74451,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O,MassSpecGymID0094911,0.6984781622886658,0.0
5,4,192952,CC1C(C(C(C(O1)OC2=C(C3=C(C(=C2)O)C(=O)C(=C(O3)C4=CC=C(C=C4)O)O)O)O)OC5C(C(C(C(O5)CO)O)O)O)O,MassSpecGymID0319535,0.6523613333702087,0.0
5,5,186745,CC(C)CC(=O)OC1C=C2C(C13CO3)C(OC=C2COC(=O)C)OC(=O)CC(C)C,MassSpecGymID0285620,0.6515450477600098,0.0
6,1,39256,CCOP(=S)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl,MassSpecGymID0047908,0.4530295729637146,0.1804482927918831
6,2,39247,CCOP(=S)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl,MassSpecGymID0047899,0.4524799585342407,0.1799488387913249
6,3,39246,CCOP(=S)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl,MassSpecGymID0047898,0.44940006732940674,0.3598119147695896
6,4,39263,CCOP(=S)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl,MassSpecGymID0047915,0.44823527336120605,0.36033869638497584
6,5,39239,CCOP(=S)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl,MassSpecGymID0047891,0.4478011131286621,0.3602789264836186
7,1,39229,CCOP(=S)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl,MassSpecGymID0047879,0.4201622009277344,0.0004658555605956432
7,2,39256,CCOP(=S)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl,MassSpecGymID0047908,0.41681915521621704,0.009964684577517912
7,3,39247,CCOP(=S)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl,MassSpecGymID0047899,0.4161517918109894,0.00994125889229303
7,4,39262,CCOP(=S)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl,MassSpecGymID0047914,0.41467973589897156,0.009773411521227503
7,5,39240,CCOP(=S)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl,MassSpecGymID0047892,0.41434723138809204,0.009770041105877586
8,1,219346,CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)CC3=CC=CC=C3)SC1)C(=O)O,MassSpecGymID0398622,0.609154462814331,0.0
8,2,91385,CC1C(=O)OC2C1(C34C(=O)OC5C3(C2O)C6(C(C5)C(C)(C)C)C(C(=O)OC6O4)O)O,MassSpecGymID0120885,0.5982316136360168,0.0
8,3,192683,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=C(OC4=C(C3=O)C(=CC(=C4CC=C(C)C)OC5C(C(C(C(O5)CO)O)O)O)O)C6=CC=C(C=C6)O)C)O)O)O)O)O,MassSpecGymID0316751,0.5564869046211243,0.0
8,4,192135,CC1=CC2=CC(=CC(=C2C(=C1C(=O)C)O)OC)OC3C(C(C(C(O3)CO)O)O)O,MassSpecGymID0313837,0.5500847101211548,0.0
8,5,140311,CN(C)C1=NC(=NC=C1)N2CCN(CC2)C3=C(C=C(C=N3)Br)C(F)(F)F,MassSpecGymID0208448,0.5461699366569519,0.0
9,1,55829,C1(=C(C(=C(C(=C1Cl)C(=O)N)Cl)Cl)O)C(=O)N,MassSpecGymID0071861,0.4622623920440674,0.00444135079973
9,2,55827,C1(=C(C(=C(C(=C1Cl)C(=O)N)Cl)Cl)O)C(=O)N,MassSpecGymID0071859,0.4471745789051056,0.0
9,3,57491,C1(=C(C(=C(C(=C1Cl)C(=O)N)Cl)Cl)S(=O)(=O)O)C(=O)N,MassSpecGymID0073615,0.4436815083026886,0.018866054234985732
9,4,57500,C1(=C(C(=C(C(=C1Cl)C(=O)N)Cl)Cl)S(=O)(=O)O)C(=O)N,MassSpecGymID0073624,0.4434887766838074,0.019142202286201573
9,5,55833,C1(=C(C(=C(C(=C1Cl)C(=O)N)Cl)Cl)O)C(=O)N,MassSpecGymID0071865,0.44223079085350037,0.028553302737868665
10,1,7199,C(C[Se][Se]CCN)N,MassSpecGymID0009137,0.6945728659629822,0.7839138261181617
10,2,55039,C(#N)C1=C(C(=C(C(=C1Cl)C(=O)N)Cl)Cl)S(=O)(=O)O,MassSpecGymID0070955,0.6785683035850525,0.12410668702392215
10,3,7198,C(C[Se][Se]CCN)N,MassSpecGymID0009134,0.6641399264335632,0.8736653104989164
10,4,55833,C1(=C(C(=C(C(=C1Cl)C(=O)N)Cl)Cl)O)C(=O)N,MassSpecGymID0071865,0.6558186411857605,0.030160322427135018
10,5,57486,C1(=C(C(=C(C(=C1Cl)C(=O)N)Cl)Cl)S(=O)(=O)O)C(=O)N,MassSpecGymID0073610,0.632585883140564,0.07732383976676317
11,1,12553,C1=CC=C(C=C1)P(=O)(C2=CC=CC=C2)C3=CC=CC=C3,MassSpecGymID0015661,0.5904173851013184,0.5960551722289915
11,2,12574,C1=CC=C(C=C1)P(=O)(C2=CC=CC=C2)C3=CC=CC=C3,MassSpecGymID0015689,0.5761252641677856,0.5480817778036742
11,3,12535,C1=CC=C(C=C1)P(=O)(C2=CC=CC=C2)C3=CC=CC=C3,MassSpecGymID0015625,0.5760666728019714,0.585934218845116
11,4,12536,C1=CC=C(C=C1)P(=O)(C2=CC=CC=C2)C3=CC=CC=C3,MassSpecGymID0015626,0.5759929418563843,0.5482983946676085
11,5,12571,C1=CC=C(C=C1)P(=O)(C2=CC=CC=C2)C3=CC=CC=C3,MassSpecGymID0015686,0.575853168964386,0.5859303192952755
12,1,138487,CC(C)(C)OC(=O)NC1=NC(=C(S1)Br)C(=O)OC,MassSpecGymID0206565,0.6295095086097717,0.0
12,2,56269,CCOP(=S)(OCC)OC1=C(C=C(C=C1)Cl)Cl,MassSpecGymID0072335,0.5895167589187622,0.0
12,3,56270,CCOP(=S)(OCC)OC1=C(C=C(C=C1)Cl)Cl,MassSpecGymID0072336,0.5871678590774536,0.0
12,4,55833,C1(=C(C(=C(C(=C1Cl)C(=O)N)Cl)Cl)O)C(=O)N,MassSpecGymID0071865,0.5726693272590637,0.00150567420314459
12,5,7198,C(C[Se][Se]CCN)N,MassSpecGymID0009134,0.5460072755813599,0.0
13,1,7198,C(C[Se][Se]CCN)N,MassSpecGymID0009134,0.603914737701416,0.9600936271484954
13,2,7199,C(C[Se][Se]CCN)N,MassSpecGymID0009137,0.5826783776283264,0.8348053113568032
13,3,7200,C(C[Se][Se]CCN)N,MassSpecGymID0009139,0.5441036224365234,0.9615184461540365
13,4,178076,C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)I)CO)O,MassSpecGymID0253298,0.5341824889183044,0.0
13,5,174923,C1C(C(OC1N2C=C(C(=O)NC2=O)I)CO)O,MassSpecGymID0249542,0.5327026844024658,0.0
14,1,50018,CCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCC,MassSpecGymID0063564,0.76798415184021,0.9979545937000385
14,2,3063,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,MassSpecGymID0003789,0.6961077451705933,0.9656328325369188
14,3,50017,CCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCC,MassSpecGymID0063563,0.6951953172683716,0.9870290707243257
14,4,3049,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,MassSpecGymID0003774,0.6896131038665771,0.9667034532180185
14,5,3041,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,MassSpecGymID0003765,0.6869596838951111,0.9972882713661432
15,1,9134,C1=NC2=C(N1)C(=O)NC(=O)N2,MassSpecGymID0011647,0.5414011478424072,0.05101075235599756
15,2,63101,C=CC(=O)N1CN(CN(C1)C(=O)C=C)C(=O)C=C,MassSpecGymID0079973,0.5376259088516235,0.0748649610373
15,3,218765,CSC1=C(C(=C(C(=C1)O)SC)SC)O,MassSpecGymID0397949,0.5187636017799377,0.05670226426955491
15,4,44651,C1=C(C(=CC(=C1S(=O)(=O)N)Cl)N)C(=O)O,MassSpecGymID0055826,0.5155160427093506,0.0
15,5,41740,C1=C(C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N)N,MassSpecGymID0051918,0.5126819014549255,0.13909113779434698
16,1,192194,CC1=CC(=O)C2=C(C3=C(C=C2O1)OC(C(C3)OC4C(C(C(C(O4)CO)O)O)O)(C)C)O,MassSpecGymID0314128,0.48534095287323,0.0
16,2,192572,CC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)OC4C(C(C(C(O4)C)O)O)OC5C(C(C(C(O5)CO)O)O)O)C6=CC=C(C=C6)O)O)O)O,MassSpecGymID0316524,0.4737354516983032,0.0
16,3,192133,CC1=CC2=CC(=CC(=C2C(=C1C(=O)C)O)OC)OC3C(C(C(C(O3)CO)O)O)O,MassSpecGymID0313833,0.4702347218990326,0.0
16,4,40452,C(C(=O)O)OC1=NC(=C(C(=C1Cl)N)Cl)F,MassSpecGymID0049944,0.4682200849056244,0.054676583751963964
16,5,40433,C(C(=O)O)OC1=NC(=C(C(=C1Cl)N)Cl)F,MassSpecGymID0049925,0.46813708543777466,0.05467211806397363
